,Пол,Возраст,Зарплата,Члены семьи,Страховые выплаты
121,1,19.0,43200.0,1,0
122,0,40.0,31800.0,3,0
123,1,27.0,38000.0,5,0
124,1,43.0,50200.0,1,1
125,1,40.0,35100.0,1,0
126,0,35.0,30700.0,1,0
127,0,28.0,30300.0,0,0
128,0,20.0,39400.0,1,0
129,0,33.0,45800.0,1,0
130,0,21.0,49300.0,0,0
131,0,23.0,42800.0,2,0
132,1,33.0,33600.0,3,0
133,1,40.0,50300.0,1,0
134,1,41.0,34000.0,1,0
135,0,19.0,40200.0,0,0
136,0,36.0,41700.0,1,0
137,1,38.0,36400.0,0,0
138,1,25.0,44900.0,0,0
139,0,18.0,39500.0,0,0
140,0,30.0,43600.0,1,0
141,1,21.0,34900.0,2,0
142,0,22.0,38000.0,2,0
143,0,40.0,54600.0,1,0
144,0,25.0,52800.0,2,0
145,1,41.0,33200.0,3,0
146,0,24.0,25700.0,1,0
147,1,27.0,29700.0,3,0
148,0,28.0,39000.0,1,0
149,0,20.0,44100.0,1,0
150,1,21.0,31900.0,1,0
151,1,19.0,29300.0,0,0
152,0,26.0,37700.0,3,0
153,0,20.0,35200.0,1,0
154,0,36.0,43100.0,0,0
155,1,28.0,51300.0,0,0
156,1,21.0,47500.0,2,0
157,1,22.0,40800.0,0,0
158,0,26.0,26800.0,2,0
159,1,19.0,64900.00000000001,2,0
160,0,32.0,35900.0,3,0
161,0,41.0,31200.0,2,0
162,0,32.0,39900.0,2,0
163,0,31.0,43200.0,3,0
164,1,22.0,43300.0,1,0
165,1,33.0,35400.0,2,0
166,1,33.0,33900.0,2,0
167,1,35.0,44900.0,2,0
168,0,30.0,37300.0,0,0
169,1,38.0,40700.0,1,0
170,1,37.0,54600.0,1,0
171,0,32.0,33600.0,0,0
172,1,22.0,44700.0,2,0
173,1,31.0,53400.0,0,0
174,1,33.0,52500.0,0,0
175,0,33.0,30600.0,2,0
176,1,41.0,48900.0,0,0
177,1,56.0,56000.0,0,3
178,1,35.0,37300.0,1,0
179,0,27.0,35600.0,1,0
180,0,19.0,55200.0,1,0
181,0,45.0,40600.0,0,1
182,1,25.0,46400.0,1,0
183,0,18.0,48300.0,2,0
184,0,23.0,39900.0,2,0
185,1,37.0,26700.0,1,0
186,0,22.0,50800.0,0,0
187,1,31.0,43600.0,0,0
188,0,29.0,37400.0,3,0
189,0,39.0,41200.0,0,0
190,1,18.0,44200.0,1,0
191,1,38.0,44400.0,0,0
192,0,21.0,37600.0,1,0
193,0,23.0,43600.0,0,0
194,1,34.0,36600.0,1,0
195,0,31.0,40500.0,2,0
196,0,18.0,39800.0,4,0
197,0,45.0,16600.0,2,1
198,0,27.0,48400.0,2,0
199,1,21.0,25100.0,0,0
200,1,36.0,23100.0,1,0
201,0,22.0,32100.0,0,0
202,0,24.0,31000.0,2,0
203,1,31.0,42900.0,1,0
204,0,26.0,46700.0,0,0
205,0,25.0,45000.0,0,0
206,1,36.0,26000.0,1,0
207,0,34.0,55900.0,2,0
208,1,40.0,52000.0,3,0
209,0,22.0,40100.0,1,0
210,1,25.0,41500.0,1,0
211,0,33.0,39900.0,1,0
212,1,29.0,49400.0,0,0
213,1,43.0,60300.0,0,1
214,0,32.0,55000.0,2,0
215,1,25.0,48700.0,3,0
216,0,32.0,42200.0,1,0
217,1,29.0,45600.0,1,0
218,0,29.0,38500.0,0,0
219,0,29.0,49900.0,2,0
220,0,29.0,33700.0,2,0
221,0,44.0,35100.0,2,1
222,0,45.0,49000.0,0,1
223,1,34.0,37500.0,1,0
224,0,29.0,21900.0,0,0
225,0,36.0,45100.0,1,0
226,1,23.0,47900.0,0,0
227,0,28.0,54300.0,1,0
228,1,65.0,39700.0,1,5
229,1,33.0,32400.0,2,0
230,0,35.0,30700.0,0,0
231,0,35.0,41300.0,2,0
232,0,24.0,44500.0,1,0
233,0,20.0,23200.0,1,0
234,0,49.0,27300.0,0,2
235,0,55.0,35900.0,1,3
236,0,36.0,37900.0,0,0
237,0,28.0,48000.0,2,0
238,1,32.0,52800.0,1,0
239,1,26.0,44200.0,0,0
240,1,31.0,41500.0,0,0
241,1,27.0,32400.0,1,0
242,0,27.0,36800.0,2,0
243,0,19.0,36900.0,1,0
244,0,29.0,47000.0,5,0
245,1,25.0,52100.0,2,0
246,1,27.0,39500.0,1,0
247,1,41.0,33800.0,1,0
248,0,31.0,49400.0,1,0
249,1,40.0,45300.0,5,0
250,0,26.0,44700.0,2,0
251,1,23.0,45700.0,1,0
252,1,33.0,26500.0,1,0
253,1,19.0,47000.0,1,0
254,0,32.0,29900.0,1,0
255,0,23.0,42800.0,0,0
256,0,57.0,28100.0,2,3
257,0,37.0,52500.0,3,0
258,0,33.0,42600.0,0,0
259,0,29.0,38400.0,2,0
260,1,42.0,46700.0,0,1
261,1,29.0,45200.0,1,0
262,1,34.0,46800.0,2,0
263,0,43.0,36000.0,1,1
264,1,46.0,46500.0,1,1
265,0,39.0,23800.0,1,0
266,1,38.0,30200.0,0,0
267,0,36.0,40200.0,0,0
268,0,20.0,50200.0,3,0
269,1,34.0,24400.0,1,0
270,1,36.0,39600.0,0,0
271,0,25.0,44500.0,1,0
272,0,38.0,32800.0,1,0
273,1,39.0,29000.0,3,0
274,0,25.0,43400.0,0,0
275,0,35.0,48700.0,1,0
276,1,35.0,51500.0,1,0
277,1,32.0,43200.0,0,0
278,1,34.0,39900.0,1,0
279,0,23.0,34600.0,3,0
280,1,32.0,36000.0,0,0
281,1,39.0,48100.0,1,0
282,1,21.0,61700.0,0,0
283,1,37.0,45400.0,0,0
284,1,23.0,50700.0,0,0
285,0,43.0,36200.0,2,1
286,0,39.0,36000.0,0,0
287,0,27.0,41900.0,1,0
288,0,34.0,49400.0,1,0
289,1,26.0,52500.0,0,0
290,1,22.0,27900.0,0,0
291,0,27.0,31200.0,0,0
292,0,32.0,47200.0,1,0
293,0,23.0,48800.0,2,0
294,1,26.0,40100.0,2,0
295,0,23.0,33300.0,2,0
296,1,26.0,40600.0,4,0
297,1,19.0,55100.0,0,0
298,0,20.0,48200.0,1,0
299,0,39.0,43500.0,3,0
300,0,44.0,47900.0,2,1
301,1,23.0,27300.0,1,0
302,0,29.0,42500.0,1,0
303,1,28.0,36900.0,1,0
304,0,20.0,48000.0,2,0
305,1,27.0,47500.0,3,0
306,0,25.0,35500.0,0,0
307,1,37.0,33700.0,4,0
308,1,25.0,44600.0,1,0
309,0,29.0,35000.0,1,0
310,0,36.0,29000.0,0,0
311,1,42.0,43900.0,1,1
312,1,33.0,43700.0,2,0
313,0,25.0,32700.000000000004,1,0
314,0,25.0,41000.0,2,0
315,0,34.0,40000.0,1,0
316,1,37.0,22000.0,2,0
317,0,20.0,39800.0,2,0
318,0,41.0,38400.0,1,0
319,1,23.0,33100.0,0,0
320,0,36.0,40300.0,5,0
321,0,23.0,35200.0,1,0
322,1,24.0,44600.0,1,0
323,0,20.0,52000.0,1,0
324,1,35.0,42500.0,0,0
325,0,30.0,47900.0,4,0
326,1,46.0,36300.0,0,1
327,0,29.0,47900.0,2,0
328,0,44.0,49800.0,1,1
329,0,42.0,39500.0,2,0
330,1,36.0,40100.0,2,0
331,0,32.0,40800.0,0,0
332,1,24.0,39700.0,1,0
333,0,32.0,25600.0,1,0
334,0,43.0,43700.0,3,1
335,1,19.0,45800.0,1,0
336,1,21.0,45200.0,2,0
337,0,20.0,44900.0,2,0
338,0,30.0,43900.0,0,0
339,1,54.0,35400.0,0,2
340,0,52.0,55000.0,1,2
341,0,23.0,36800.0,1,0
342,0,19.0,42300.0,1,0
343,0,25.0,54900.0,1,0
344,0,28.0,38600.0,0,0
345,0,29.0,53400.0,2,0
346,0,30.0,33800.0,2,0
347,0,39.0,42600.0,1,0
348,0,46.0,47200.0,0,1
349,1,28.0,25500.0,0,0
350,0,33.0,39700.0,0,0
351,1,20.0,42200.0,0,0
352,0,31.0,32900.0,1,0
353,1,34.0,41800.0,0,0
354,1,41.0,36700.0,0,0
355,0,45.0,35700.0,2,1
356,1,30.0,31600.0,3,0
357,0,43.0,41200.0,2,1
358,1,32.0,50700.0,2,0
359,0,30.0,38900.0,0,0
360,1,26.0,33500.0,3,0
361,0,50.0,24700.0,1,2
362,0,42.0,28800.0,0,1
363,1,47.0,22900.0,0,1
364,1,39.0,38600.0,3,0
365,1,40.0,33800.0,0,0
366,1,34.0,46300.0,2,0
367,0,42.0,47300.0,2,0
368,0,40.0,29700.0,0,0
369,1,31.0,14500.0,0,0
370,1,40.0,44700.0,1,0
371,0,19.0,45800.0,3,0
372,0,37.0,33700.0,1,0
373,0,37.0,36800.0,3,0
374,1,34.0,28700.0,0,0
375,1,46.0,38400.0,1,1
376,0,36.0,48400.0,2,0
377,1,32.0,41200.0,3,0
378,0,35.0,44000.0,1,0
379,0,34.0,34100.0,0,0
380,1,27.0,53000.0,1,0
381,1,30.0,40500.0,0,0
382,1,36.0,45800.0,1,0
383,0,31.0,42700.0,0,0
384,1,44.0,44800.0,6,1
385,1,22.0,49800.0,0,0
386,0,26.0,26700.0,1,0
387,1,31.0,41900.0,1,0
388,0,35.0,59300.0,0,0
389,1,23.0,44400.0,0,0
390,1,43.0,46400.0,2,1
391,1,19.0,36300.0,1,0
392,1,43.0,32700.000000000004,1,1
393,0,25.0,28500.0,2,0
394,0,27.0,47100.0,0,0
395,1,27.0,39400.0,0,0
396,1,24.0,47300.0,3,0
397,0,31.0,43300.0,3,0
398,0,30.0,37700.0,1,0
399,1,23.0,30600.0,0,0
400,1,26.0,39500.0,1,0
401,0,18.0,41400.0,0,0
402,0,34.0,40500.0,0,0
403,0,32.0,58900.0,2,0
404,0,46.0,42900.0,2,1
405,1,28.0,17500.0,2,0
406,1,36.0,41300.0,0,0
407,0,34.0,50300.0,2,0
408,0,18.0,36900.0,0,0
409,0,38.0,54200.0,1,0
410,0,32.0,39700.0,1,0
411,1,24.0,32900.0,1,0
412,1,30.0,43000.0,0,0
413,1,45.0,39700.0,0,1
414,1,23.0,52800.0,2,0
415,1,36.0,29800.0,2,0
416,0,25.0,41700.0,2,0
417,1,28.0,36900.0,0,0
418,1,33.0,22000.0,1,0
419,0,30.0,20000.0,2,0
420,1,48.0,13800.0,2,1
421,1,22.0,42700.0,1,0
422,1,30.0,41400.0,2,0
423,1,26.0,45900.0,1,0
424,0,46.0,27500.0,2,1
425,1,30.0,67700.0,0,0
426,0,23.0,36900.0,1,0
427,0,30.0,36000.0,3,0
428,0,29.0,43100.0,2,0
429,0,27.0,36100.0,1,0
430,1,20.0,28700.0,0,0
431,1,39.0,34900.0,0,0
432,1,32.0,44700.0,4,0
433,1,30.0,45200.0,3,0
434,1,32.0,48100.0,2,0
435,0,42.0,28000.0,0,1
436,0,33.0,37100.0,1,0
437,0,28.0,8900.0,4,0
438,0,36.0,36300.0,1,0
439,1,27.0,41300.0,1,0
440,1,25.0,14600.0,1,0
441,0,36.0,56200.0,1,0
442,1,39.0,45000.0,2,0
443,1,34.0,44600.0,1,0
444,0,36.0,26500.0,2,0
445,1,37.0,55200.0,1,0
446,0,33.0,44300.0,1,0
447,0,29.0,47500.0,3,0
448,1,32.0,32700.000000000004,2,0
449,0,38.0,38800.0,0,0
450,0,29.0,46800.0,0,0
451,0,31.0,43600.0,2,0
452,0,34.0,32800.0,0,0
453,1,28.0,43000.0,4,0
454,0,27.0,27700.0,1,0
455,0,30.0,44500.0,0,0
456,1,32.0,49400.0,1,0
457,1,34.0,49900.0,1,0
458,0,26.0,41400.0,4,0
459,1,22.0,50500.0,2,0
460,1,26.0,31600.0,3,0
461,0,42.0,58400.0,1,1
462,1,19.0,46700.0,3,0
463,0,52.0,34700.0,2,2
464,1,43.0,34400.0,0,1
465,0,46.0,49500.0,0,1
466,0,33.0,25700.0,3,0
467,1,26.0,26500.0,1,0
468,0,38.0,49100.0,2,0
469,0,29.0,50900.0,2,0
470,1,35.0,40100.0,4,0
471,1,30.0,28200.0,0,0
472,1,38.0,36600.0,0,0
473,0,22.0,55900.0,2,0
474,0,32.0,61500.0,2,0
475,1,23.0,35500.0,2,0
476,1,32.0,36900.0,0,0
477,0,28.0,36700.0,1,0
478,1,53.0,32500.0,1,2
479,1,41.0,43200.0,1,0
480,1,22.0,45200.0,0,0
481,0,30.0,25900.0,3,0
482,1,37.0,41200.0,4,0
483,0,29.0,9800.0,2,0
484,1,36.0,28300.0,2,0
485,0,19.0,31100.0,1,0
486,1,26.0,41100.0,0,0
487,0,30.0,62000.0,0,0
488,1,24.0,32900.0,1,0
489,1,22.0,32600.0,1,0
490,0,34.0,43600.0,0,0
491,1,24.0,34600.0,1,0
492,1,20.0,37200.0,0,0
493,1,34.0,43800.0,2,0
494,1,38.0,64800.0,1,0
495,1,42.0,42600.0,4,0
496,1,24.0,53800.0,3,0
497,1,33.0,34700.0,0,0
498,0,33.0,24000.0,2,0
499,1,42.0,53600.0,3,0
500,0,18.0,54800.0,2,0
501,0,37.0,59600.0,2,0
502,1,29.0,41400.0,2,0
503,1,28.0,41100.0,0,0
504,0,21.0,35100.0,5,0
505,0,41.0,32600.0,0,0
506,0,25.0,49100.0,2,0
507,0,32.0,34600.0,1,0
508,1,29.0,34400.0,0,0
509,0,29.0,20200.0,0,0
510,0,42.0,34500.0,4,0
511,0,24.0,30500.0,1,0
512,0,31.0,21700.0,1,0
513,0,31.0,37400.0,2,0
514,1,38.0,45600.0,2,0
515,0,31.0,35500.0,3,0
516,1,25.0,32800.0,3,0
517,1,27.0,29200.0,0,0
518,1,33.0,38100.0,2,0
519,1,30.0,35500.0,0,0
520,0,28.0,42300.0,2,0
521,0,26.0,38500.0,2,0
522,1,46.0,20700.0,1,1
523,1,19.0,36100.0,2,0
524,1,22.0,45200.0,1,0
525,0,23.0,32300.0,1,0
526,0,19.0,25100.0,1,0
527,0,21.0,47900.0,1,0
528,1,23.0,50500.0,1,0
529,1,34.0,40600.0,1,0
530,1,36.0,21200.0,1,0
531,0,41.0,36000.0,1,0
532,1,23.0,43800.0,1,0
533,1,21.0,62100.0,1,0
534,1,29.0,38300.0,0,0
535,0,29.0,54000.0,2,0
536,1,25.0,40700.0,1,0
537,0,20.0,38700.0,1,0
538,0,23.0,43400.0,0,0
539,1,31.0,42600.0,1,0
540,1,29.0,38900.0,1,0
541,1,21.0,30600.0,0,0
542,0,21.0,37700.0,3,0
543,0,45.0,29200.0,1,1
544,0,37.0,44600.0,0,0
545,0,32.0,50700.0,1,0
546,1,36.0,24500.0,1,0
547,1,35.0,51900.0,2,0
548,1,33.0,41500.0,0,0
549,0,34.0,41500.0,2,0
550,0,36.0,45900.0,4,0
551,0,22.0,38500.0,1,0
552,0,25.0,47800.0,1,0
553,1,23.0,38100.0,1,0
554,1,30.0,56100.0,1,0
555,0,20.0,40300.0,1,0
556,1,21.0,55300.0,2,0
557,0,32.0,23100.0,2,0
558,0,26.0,55000.0,5,0
559,1,46.0,58100.0,0,1
560,0,26.0,46500.0,0,0
561,0,19.0,42100.0,1,0
562,0,25.0,30600.0,2,0
563,1,27.0,28900.0,0,0
564,0,30.0,39100.0,0,0
565,1,28.0,43400.0,0,0
566,0,21.0,34300.0,0,0
567,1,33.0,58000.0,2,0
568,1,27.0,37300.0,0,0
569,0,49.0,38700.0,2,1
570,1,32.0,39000.0,4,0
571,0,32.0,41100.0,1,0
572,1,43.0,29600.0,0,1
573,1,45.0,27200.0,1,1
574,0,27.0,43200.0,2,0
575,1,23.0,36400.0,1,0
576,1,40.0,30700.0,3,0
577,0,31.0,24600.0,2,0
578,1,34.0,34900.0,0,0
579,0,43.0,53600.0,1,1
580,0,21.0,30100.0,1,0
581,0,23.0,43600.0,3,0
582,1,25.0,54000.0,1,0
583,0,21.0,57100.0,1,0
584,1,43.0,42300.0,0,1
585,1,45.0,54200.0,0,1
586,1,27.0,51000.0,2,0
587,0,33.0,51700.0,1,0
588,0,37.0,33900.0,2,0
589,1,28.0,32800.0,2,0
590,1,23.0,28800.0,1,0
591,0,30.0,50300.0,0,0
592,0,27.0,43700.0,1,0
593,1,20.0,37900.0,0,0
594,1,39.0,40600.0,0,0
595,0,35.0,37400.0,0,0
596,1,29.0,40300.0,1,0
597,0,42.0,60100.0,0,1
598,1,26.0,42900.0,2,0
599,0,20.0,22200.0,0,0
600,0,27.0,32300.0,0,0
601,1,28.0,42100.0,2,0
602,1,27.0,24400.0,0,0
603,0,24.0,26800.0,3,0
604,1,20.0,43800.0,1,0
605,1,31.0,52000.0,2,0
606,1,27.0,49100.0,1,0
607,1,38.0,44100.0,1,0
608,0,25.0,47700.0,3,0
609,0,19.0,45900.0,1,0
610,1,25.0,34600.0,2,0
611,0,22.0,24900.0,0,0
612,0,43.0,32800.0,2,1
613,1,32.0,28200.0,0,0
614,1,25.0,41000.0,2,0
615,0,42.0,28500.0,2,0
616,1,26.0,31500.0,3,0
617,0,39.0,37600.0,4,0
618,0,33.0,47100.0,0,0
619,1,35.0,37800.0,2,0
620,0,19.0,52700.0,0,0
621,0,31.0,43100.0,0,0
622,1,20.0,34200.0,1,0
623,1,41.0,18700.0,1,0
624,1,29.0,44400.0,2,0
625,0,31.0,23100.0,1,0
626,1,31.0,32500.0,1,0
627,1,24.0,56100.0,2,0
628,1,20.0,29700.0,1,0
629,1,26.0,42000.0,2,0
630,1,20.0,19400.0,2,0
631,1,23.0,42300.0,3,0
632,0,30.0,26300.0,3,0
633,0,44.0,48400.0,3,1
634,1,29.0,50500.0,1,0
635,1,27.0,22600.0,2,0
636,0,26.0,36100.0,1,0
637,1,41.0,30900.0,3,0
638,1,26.0,49600.0,0,0
639,1,21.0,40800.0,1,0
640,0,28.0,29600.0,0,0
641,0,55.0,41600.0,0,3
642,0,46.0,56000.0,1,1
643,1,22.0,35800.0,2,0
644,1,20.0,34300.0,1,0
645,0,26.0,44100.0,0,0
646,1,51.0,32800.0,1,2
647,1,33.0,39500.0,1,0
648,0,30.0,22900.0,0,0
649,1,32.0,38600.0,2,0
650,0,26.0,49300.0,2,0
651,0,33.0,40700.0,4,0
652,0,43.0,31700.0,3,1
653,0,31.0,44600.0,1,0
654,0,46.0,30800.0,0,1
655,0,18.0,50800.0,1,0
656,1,19.0,51100.0,2,0
657,1,37.0,53300.0,0,0
658,1,19.0,48400.0,2,0
659,1,30.0,41800.0,1,0
660,0,39.0,49300.0,0,0
661,1,49.0,41600.0,0,2
662,0,19.0,37400.0,0,0
663,1,34.0,46200.0,2,0
664,1,19.0,35500.0,0,0
665,0,30.0,24100.0,4,0
666,1,47.0,54700.0,0,1
667,0,21.0,34200.0,1,0
668,0,25.0,45900.0,1,0
669,0,37.0,44900.0,1,0
670,1,28.0,34600.0,1,0
671,0,26.0,51200.0,1,0
672,1,30.0,30700.0,1,0
673,0,21.0,34800.0,3,0
674,1,43.0,40800.0,1,1
675,1,39.0,35500.0,2,0
676,1,37.0,62300.0,1,0
677,0,37.0,51400.0,0,0
678,1,33.0,40900.0,1,0
679,1,26.0,31100.0,1,0
680,0,37.0,44100.0,1,0
681,1,23.0,38500.0,2,0
682,1,36.0,23400.0,3,0
683,1,24.0,35300.0,0,0
684,1,52.0,55800.0,1,2
685,1,20.0,40900.0,1,0
686,1,25.0,40300.0,2,0
687,0,34.0,42800.0,0,0
688,0,20.0,35800.0,0,0
689,0,22.0,29000.0,0,0
690,0,26.0,50300.0,1,0
691,1,29.0,48300.0,3,0
692,0,25.0,51600.0,0,0
693,1,39.0,34100.0,1,0
694,1,42.0,26800.0,3,0
695,1,20.0,48800.0,1,0
696,1,34.0,30700.0,0,0
697,0,35.0,40800.0,2,0
698,0,32.0,41900.0,1,0
699,0,25.0,18700.0,0,0
700,0,40.0,33400.0,2,0
701,1,44.0,35700.0,0,1
702,1,21.0,21300.0,1,0
703,1,30.0,41700.0,2,0
704,0,37.0,46300.0,1,0
705,0,44.0,30000.0,1,1
706,1,40.0,38400.0,1,0
707,1,23.0,31700.0,1,0
708,0,35.0,28500.0,0,0
709,0,37.0,39900.0,0,0
710,0,28.0,39100.0,2,0
711,1,47.0,36700.0,1,1
712,1,19.0,52600.0,0,0
713,1,39.0,39500.0,1,0
714,1,22.0,46400.0,1,0
715,0,22.0,53900.0,1,0
716,1,44.0,29900.0,2,1
717,1,27.0,48100.0,3,0
718,1,22.0,32600.0,1,0
719,1,41.0,42100.0,2,0
720,0,25.0,28300.0,0,0
721,0,37.0,37300.0,1,0
722,0,25.0,40200.0,1,0
723,0,51.0,41300.0,1,2
724,1,32.0,56700.0,1,0
725,0,29.0,46900.0,1,0
726,1,20.0,5300.0,1,0
727,1,26.0,34200.0,0,0
728,0,40.0,32500.0,1,0
729,0,18.0,40300.0,0,0
730,0,44.0,48400.0,0,1
731,1,19.0,35600.0,2,0
732,1,24.0,41100.0,2,0
733,1,25.0,52800.0,1,0
734,0,36.0,41400.0,2,0
735,0,18.0,54800.0,1,0
736,0,20.0,39200.0,1,0
737,1,27.0,54900.0,1,0
738,1,39.0,57500.0,0,0
739,0,37.0,35000.0,1,0
740,1,30.0,44800.0,3,0
741,0,20.0,21300.0,1,0
742,0,36.0,31300.0,0,0
743,1,33.0,51800.0,2,0
744,1,50.0,51700.0,1,2
745,0,32.0,35500.0,2,0
746,0,21.0,30900.0,1,0
747,0,33.0,41500.0,1,0
748,1,31.0,51600.0,0,0
749,0,19.0,45000.0,2,0
750,0,40.0,53700.0,0,0
751,0,30.0,48300.0,1,0
752,0,41.0,32100.0,0,0
753,1,27.0,21600.0,1,0
754,0,23.0,46700.0,4,0
755,0,39.0,50000.0,0,0
756,1,30.0,43400.0,0,0
757,1,24.0,39100.0,2,0
758,0,20.0,33800.0,3,0
759,0,33.0,42700.0,3,0
760,1,24.0,36500.0,1,0
761,0,24.0,32000.0,3,0
762,1,38.0,51300.0,1,0
763,1,28.0,33100.0,1,0
764,1,30.0,42100.0,2,0
765,1,21.0,31700.0,2,0
766,1,29.0,51500.0,5,0
767,0,20.0,53800.0,1,0
768,0,50.0,16400.0,2,2
769,1,39.0,39900.0,1,0
770,1,47.0,43400.0,1,1
771,0,32.0,15900.0,1,0
772,1,20.0,65099.99999999999,1,0
773,0,21.0,35300.0,1,0
774,0,32.0,38800.0,2,0
775,1,39.0,59900.0,0,0
776,1,22.0,45900.0,1,0
777,1,31.0,38700.0,1,0
778,0,23.0,53600.0,1,0
779,0,24.0,22600.0,0,0
780,0,24.0,60300.0,0,0
781,1,41.0,48800.0,0,0
782,0,25.0,42100.0,0,0
783,0,40.0,39800.0,1,0
784,0,42.0,47000.0,2,0
785,0,20.0,35800.0,0,0
786,1,37.0,51900.0,1,0
787,1,26.0,41100.0,1,0
788,1,30.0,63200.0,1,0
789,0,29.0,40200.0,0,0
790,1,31.0,47900.0,1,0
791,1,34.0,31700.0,2,0
792,1,38.0,38200.0,1,0
793,0,31.0,29600.0,1,0
794,0,26.0,40800.0,4,0
795,1,26.0,51200.0,1,0
796,1,36.0,32300.0,2,0
797,0,26.0,24500.0,1,0
798,1,20.0,48700.0,0,0
799,0,23.0,31900.0,1,0
800,0,41.0,29200.0,1,0
801,1,31.0,26200.0,2,0
802,1,24.0,30800.0,0,0
803,0,29.0,34100.0,1,0
804,0,41.0,61200.0,1,0
805,0,30.0,21600.0,1,0
806,1,45.0,29800.0,1,1
807,0,32.0,52800.0,0,0
808,0,30.0,51000.0,1,0
809,1,29.0,48500.0,0,0
810,0,20.0,35200.0,0,0
811,0,20.0,37200.0,1,0
812,1,37.0,35400.0,1,0
813,1,18.0,35600.0,0,0
814,0,35.0,47700.0,4,0
815,1,37.0,49600.0,2,0
816,0,28.0,33000.0,0,0
817,0,24.0,30000.0,0,0
