,platform,sales_year,genre,online,offline,critic_score,user_score,rating,game_id
45,PS4,2016.0,Shooter,185.0,250.0,93.0,7.9,T,25918
46,X360,2018.0,Action,313.0,169.0,84.0,6.7,M,23088
47,XOne,2018.0,Shooter,322.0,155.0,81.0,5.4,M,39625
48,PS3,2018.0,Misc,203.0,237.0,,,,48042
49,3DS,2017.0,Simulation,97.0,211.0,,,,21971
50,WiiU,2018.0,Platform,230.0,134.0,84.0,8.1,E,16009
51,X360,2018.0,Action,109.0,347.0,90.0,6.1,E,48244
52,PC,2018.0,Role-Playing,244.0,216.0,88.0,4,M,28545
53,WiiU,2018.0,Fighting,260.0,108.0,,,,46773
54,X360,2017.0,Action,299.0,127.0,94.0,8.7,T,43020
55,PS4,2018.0,Action,188.0,200.0,,,,12250
56,PS4,2015.0,Action,207.0,171.0,86.0,8.1,T,14821
57,3DS,2017.0,Action,180.0,139.0,86.0,8.4,E,16283
58,X360,2017.0,Racing,208.0,197.0,91.0,8.2,E,42295
59,XOne,2015.0,Shooter,278.0,127.0,84.0,6.4,T,28954
60,PS4,2016.0,Shooter,161.0,200.0,77.0,3.4,M,26374
61,WiiU,2015.0,Shooter,154.0,118.0,81.0,8.5,E10+,24542
62,WiiU,2018.0,Misc,252.0,111.0,77.0,7.9,E10+,10478
63,PS3,2018.0,Shooter,156.0,193.0,,4.8,M,39953
64,3DS,2017.0,Action,209.0,131.0,,,,46866
65,WiiU,2017.0,Platform,211.0,116.0,93.0,9,E,37029
66,PS4,2018.0,Misc,148.0,202.0,,,,31110
67,X360,2018.0,Shooter,277.0,111.0,,4.9,M,39564
68,PS3,2018.0,Sports,57.99999999999999,302.0,,4.5,E,27144
69,PS3,2017.0,Action,141.0,201.0,80.0,7.5,M,40579
70,XOne,2015.0,Role-Playing,251.0,132.0,88.0,6.2,M,49900
71,X360,2017.0,Sports,92.0,289.0,84.0,4.2,E,31007
72,X360,2017.0,Action,225.0,147.0,80.0,7.2,M,27138
73,X360,2017.0,Sports,84.0,278.0,,,,41423
74,PS4,2016.0,Shooter,110.0,215.0,88.0,8.4,M,31597
75,PS4,2018.0,Action,140.0,190.0,80.0,6.3,M,24350
76,PS4,2018.0,Shooter,113.0,218.00000000000003,85.0,7.7,M,37648
77,PS4,2015.0,Role-Playing,102.0,213.0,92.0,9.2,M,43575
78,PS4,2018.0,Action,119.0,207.0,70.0,4.9,M,14599
79,PS4,2015.0,Action,153.0,169.0,87.0,7.6,M,17229
80,Wii,2017.0,Action,203.0,116.0,93.0,8,E10+,32539
81,3DS,2018.0,Role-Playing,68.0,48.0,86.0,8.7,T,33018
82,PC,2017.0,Role-Playing,116.0,212.0,94.0,8.1,M,29628
83,PS4,2015.0,Sports,249.00000000000003,66.0,87.0,6.7,E10+,43779
84,3DS,2017.0,Simulation,144.0,141.0,,,,25114
85,PS4,2017.0,Shooter,178.0,143.0,78.0,3.7,M,18111
86,PS4,2016.0,Shooter,135.0,170.0,80.0,7,M,43699
87,Wii,2017.0,Sports,112.0,187.0,,,,27044
88,PS3,2017.0,Action,133.0,168.0,88.0,8.1,M,45639
89,XOne,2015.0,Shooter,204.0,128.0,,,,27075
90,PS4,2017.0,Shooter,135.0,155.0,85.0,6.9,M,30557
91,Wii,2017.0,Misc,188.0,139.0,,6.2,E10+,49835
92,XOne,2018.0,Action,227.0,90.0,72.0,4.1,M,21711
93,PS3,2017.0,Shooter,130.0,142.0,80.0,5.8,M,32806
94,X360,2017.0,Shooter,215.0,101.0,79.0,5.6,M,16238
95,3DS,2017.0,Role-Playing,0.0,0.0,,,,27541
96,PS4,2015.0,Action,109.0,136.0,93.0,8.2,M,25344
97,PS3,2017.0,Platform,183.0,105.0,91.0,8.4,E,34409
98,PS4,2015.0,Action,81.0,199.0,76.0,6.8,M,38033
99,XOne,2018.0,Shooter,214.0,92.0,75.0,5.5,T,10683
100,PS3,2018.0,Shooter,88.0,170.0,90.0,8.5,M,31182
101,3DS,2015.0,Action,27.0,21.0,,,,28128
102,X360,2017.0,Action,190.0,111.0,86.0,7.9,M,38467
103,3DS,2018.0,Role-Playing,9.0,0.0,,,,44910
104,XOne,2015.0,Shooter,261.0,33.0,82.0,7.5,M,30618
105,XOne,2015.0,Sports,89.0,212.0,84.0,4.4,E,14732
106,PS4,2015.0,Sports,234.0,30.0,83.0,5.9,E,14742
107,PS3,2017.0,Racing,72.0,167.0,81.0,7.7,E,24843
108,XOne,2018.0,Shooter,191.0,100.0,85.0,7.2,M,31095
109,WiiU,2015.0,Platform,118.0,89.0,88.0,8.7,E,29866
110,PS3,2017.0,Adventure,127.0,129.0,89.0,7.7,M,16611
111,Wii,2018.0,Misc,106.0,109.0,73.0,6.8,E,47043
112,3DS,2017.0,Action,140.0,101.0,91.0,8.9,E,18025
113,PS3,2018.0,Shooter,88.0,94.0,74.0,5.4,M,26050
114,3DS,2015.0,Simulation,51.0,102.0,66.0,6.9,E,44098
115,PC,2018.0,Simulation,100.0,182.0,70.0,3.9,T,12065
116,X360,2018.0,Shooter,189.0,88.0,89.0,8.2,M,10398
117,X360,2018.0,Role-Playing,194.0,84.0,93.0,5.8,M,32222
118,PS4,2017.0,Sports,61.0,185.0,87.0,6.3,E,36281
119,X360,2018.0,Shooter,138.0,132.0,91.0,8.6,M,27273
120,X360,2018.0,Sports,260.0,20.0,88.0,7.2,E,22466
121,PC,2017.0,Role-Playing,158.0,101.0,85.0,5.9,T,19709
122,PS4,2018.0,Action,101.0,143.0,84.0,8.1,M,21111
123,XOne,2018.0,Shooter,184.0,80.0,86.0,6.4,M,46286
124,XOne,2017.0,Shooter,188.0,77.0,78.0,4.3,M,11050
125,X360,2018.0,Sports,79.0,192.0,,4.2,E,26921
126,X360,2018.0,Sports,253.0,15.0,81.0,5.8,E,45696
127,PS4,2017.0,Action,107.0,131.0,83.0,7.8,M,38475
128,PS3,2017.0,Fighting,198.0,53.0,84.0,8.4,M,18823
129,Wii,2017.0,Sports,151.0,103.0,,tbd,T,32221
130,PS3,2018.0,Racing,71.0,146.0,,,,23804
131,PS4,2018.0,Action,128.0,98.0,80.0,7.9,T,36170
132,3DS,2017.0,Role-Playing,46.0,29.0,,,,32454
133,Wii,2017.0,Action,135.0,113.0,81.0,5.6,E10+,25102
134,PC,2017.0,Shooter,89.0,143.0,89.0,7.5,M,47308
135,PS4,2015.0,Fighting,150.0,80.0,83.0,7.7,M,26835
136,PS3,2017.0,Shooter,145.0,86.0,84.0,7.9,M,14618
137,XOne,2018.0,Misc,161.0,90.0,,,,32964
138,X360,2017.0,Action,125.0,114.0,84.0,7.6,M,48476
139,PS3,2015.0,Sports,41.0,184.0,,3.2,E,36887
140,X360,2017.0,Adventure,152.0,92.0,89.0,7.8,M,15068
141,X360,2017.0,Sports,242.0,11.0,78.0,5.9,E,23460
142,PS4,2017.0,Shooter,89.0,133.0,73.0,6.8,M,29210
143,3DS,2018.0,Role-Playing,0.0,0.0,,,,10567
144,XOne,2016.0,Sports,43.0,205.0,84.0,5.5,E,38167
145,PS3,2017.0,Role-Playing,78.0,73.0,79.0,6.6,T,21672
146,X360,2017.0,Sports,231.0,14.000000000000002,90.0,7.7,E,24514
147,PS3,2018.0,Sports,211.0,22.0,83.0,5.5,E,12230
148,X360,2017.0,Sports,210.0,19.0,87.0,4.9,E,30526
149,Wii,2018.0,Action,148.0,83.0,78.0,7,E10+,16858
150,PS4,2015.0,Action,103.0,81.0,92.0,8.6,M,44681
151,PS3,2018.0,Sports,173.0,43.0,90.0,8,E,40908
152,PS3,2017.0,Action,86.0,104.0,82.0,7.7,M,27508
153,PS4,2018.0,Sports,147.0,54.0,83.0,7,E,28229
154,PS4,2015.0,Racing,50.0,150.0,,,,41058
155,XOne,2016.0,Shooter,146.0,74.0,78.0,3.1,M,27771
156,XOne,2015.0,Sports,208.0,8.0,84.0,6.1,E,29904
157,PS3,2017.0,Action,60.0,126.0,,,,26469
158,X360,2017.0,Shooter,144.0,70.0,82.0,8.1,M,40379
159,X360,2017.0,Action,148.0,69.0,71.0,6.9,M,32988
160,X360,2017.0,Misc,173.0,43.0,73.0,2.9,E10+,47184
161,3DS,2015.0,Action,115.0,55.00000000000001,89.0,9,E10+,37743
162,XOne,2015.0,Sports,195.0,15.0,86.0,6.2,E10+,36745
163,X360,2017.0,Sports,138.0,72.0,66.0,6.5,E,44373
164,PC,2018.0,Action,96.0,107.0,90.0,7.9,T,35050
165,3DS,2018.0,Role-Playing,112.0,41.0,75.0,5.6,E,45976
166,PS3,2017.0,Action,107.0,80.0,76.0,7.7,T,37817
167,3DS,2015.0,Action,0.0,0.0,,,,42235
168,PS3,2017.0,Action,108.0,73.0,71.0,6.6,M,34244
169,PS4,2016.0,Action,60.0,125.0,76.0,6.3,M,15027
170,XOne,2016.0,Shooter,128.0,77.0,87.0,8.2,M,40618
171,PS3,2017.0,Sports,193.0,15.0,79.0,5.5,E,44320
172,PS3,2017.0,Action,123.0,63.0,80.0,7.5,M,37281
173,WiiU,2017.0,Platform,125.0,62.0,77.0,7.9,E,10296
174,XOne,2017.0,Action,148.0,55.00000000000001,,7.4,M,31888
175,X360,2017.0,Sports,198.0,6.0,80.0,5.6,E,12334
176,PS3,2018.0,Shooter,105.0,72.0,91.0,8.2,M,29681
177,X360,2017.0,Action,124.0,79.0,80.0,7.6,E10+,36348
178,PS4,2015.0,Shooter,55.00000000000001,119.0,73.0,7.3,M,47728
179,XOne,2017.0,Racing,121.0,79.0,79.0,5.9,E,38229
180,PS4,2018.0,Sports,154.0,25.0,81.0,6.1,E,24044
181,PS3,2017.0,Action,34.0,96.0,80.0,6.6,E,41443
182,XOne,2018.0,Sports,60.0,142.0,82.0,5.4,E,37196
183,XOne,2016.0,Shooter,129.0,68.0,80.0,6.9,M,28183
184,Wii,2017.0,Platform,121.0,75.0,,6.6,E10+,42120
185,PS4,2016.0,Shooter,81.0,85.0,90.0,6.1,T,14774
186,PS3,2018.0,Action,59.0,105.0,83.0,7.5,M,13948
187,PS3,2017.0,Sports,162.0,26.0,90.0,6.7,E,45912
188,PS3,2017.0,Sports,144.0,31.0,84.0,4.9,E,18904
189,PS4,2015.0,Shooter,71.0,94.0,73.0,5,M,43687
190,X360,2017.0,Fighting,163.0,31.0,86.0,8.3,M,46712
191,PS4,2015.0,Action,96.0,67.0,74.0,7.9,M,24613
192,3DS,2017.0,Role-Playing,25.0,45.0,,,,25344
193,3DS,2017.0,Role-Playing,89.0,57.99999999999999,,,,12691
194,X360,2017.0,Shooter,141.0,49.0,95.0,8.5,E10+,19425
195,PS4,2018.0,Racing,36.0,138.0,71.0,6.1,E,26001
196,X360,2018.0,Sports,177.0,6.0,,5.5,E,10017
197,X360,2017.0,Misc,145.0,41.0,86.0,8.2,T,27618
198,PS3,2017.0,Role-Playing,75.0,51.0,89.0,8.7,M,37818
199,X360,2017.0,Misc,147.0,39.0,70.0,7.7,E10+,42728
200,XOne,2017.0,Shooter,125.0,57.99999999999999,81.0,6.6,M,40343
201,3DS,2018.0,Role-Playing,90.0,45.0,92.0,9.1,T,25903
202,PS3,2017.0,Action,57.99999999999999,104.0,64.0,6.4,T,42120
203,Wii,2018.0,Misc,99.0,85.0,,8.4,E10+,21237
204,PS4,2018.0,Role-Playing,73.0,88.0,89.0,7.4,M,10581
205,PS4,2017.0,Racing,73.0,92.0,80.0,6.2,E10+,21849
206,PSV,2018.0,Misc,18.0,64.0,,,,16928
207,X360,2018.0,Racing,82.0,93.0,85.0,8.4,T,27093
208,X360,2018.0,Shooter,112.0,60.0,67.0,5,M,18278
209,X360,2017.0,Shooter,122.0,54.0,93.0,8.5,M,36973
210,PS4,2015.0,Shooter,78.0,79.0,86.0,6,T,48293
211,X360,2018.0,Shooter,131.0,43.0,,4.7,T,48687
212,3DS,2017.0,Misc,62.0,64.0,57.0,6.3,E,26514
213,PS3,2017.0,Role-Playing,72.0,75.0,86.0,6.4,M,29069
214,PS4,2018.0,Platform,66.0,93.0,79.0,7.1,E,28820
215,X360,2017.0,Action,86.0,84.0,,,,20637
216,3DS,2017.0,Platform,74.0,62.0,,,,23718
217,X360,2017.0,Action,115.0,56.00000000000001,74.0,7.5,T,46162
218,PS4,2016.0,Sports,125.0,27.0,88.0,6.7,E,36827
219,PS3,2017.0,Sports,160.0,3.0,76.0,4.1,E,32794
220,PS4,2015.0,Action,47.0,103.0,73.0,6.5,M,49992
221,PS3,2018.0,Shooter,59.0,89.0,87.0,7.8,M,16284
222,PS3,2017.0,Action,77.0,76.0,82.0,7.9,E10+,35600
223,3DS,2018.0,Platform,61.0,34.0,80.0,8.8,E,42933
224,PS4,2018.0,Role-Playing,51.0,98.0,,,M,49068
225,PS3,2017.0,Action,105.0,47.0,83.0,8.4,T,28067
226,PC,2018.0,Role-Playing,84.0,76.0,82.0,4.8,T,45592
227,PS4,2016.0,Action,42.0,108.0,68.0,5.1,M,14976
228,XOne,2015.0,Racing,73.0,90.0,87.0,7.9,E,37265
229,PS4,2018.0,Action,55.00000000000001,86.0,75.0,7.3,M,45623
230,WiiU,2017.0,Action,92.0,60.0,,,,25343
231,3DS,2017.0,Puzzle,32.0,97.0,,,,40229
232,Wii,2017.0,Action,101.0,60.0,76.0,7.7,E10+,32092
233,PS4,2016.0,Sports,125.0,17.0,82.0,4.9,E,47530
234,PS4,2015.0,Role-Playing,67.0,79.0,,,,49072
235,WiiU,2017.0,Misc,30.0,56.00000000000001,65.0,6.8,E,32846
236,PS3,2017.0,Role-Playing,90.0,35.0,,,,44689
237,PS3,2018.0,Action,56.00000000000001,81.0,,5.1,M,18538
238,X360,2018.0,Action,105.0,52.0,55.0,3.5,T,36139
239,PS3,2018.0,Role-Playing,41.0,44.0,78.0,8.3,M,21751
240,PS4,2015.0,Shooter,61.0,78.0,63.0,6.6,M,48270
241,PS4,2017.0,Platform,43.0,68.0,54.0,6.5,E10+,18315
242,X360,2018.0,Action,68.0,88.0,79.0,7.1,M,47792
243,PS4,2018.0,Racing,35.0,108.0,61.0,5.4,T,39677
244,XOne,2018.0,Sports,137.0,18.0,82.0,6.3,E,37879
245,PC,2017.0,Shooter,41.0,98.0,78.0,2.5,M,45706
246,X360,2018.0,Action,106.0,50.0,88.0,7.9,M,26045
247,X360,2015.0,Shooter,114.0,40.0,,,,49633
248,PS3,2017.0,Shooter,83.0,60.0,95.0,8.4,E10+,40200
249,PS4,2016.0,Action,63.0,76.0,71.0,4.5,T,41851
250,PS3,2017.0,Shooter,72.0,65.0,94.0,8.5,M,25913
251,PS3,2015.0,Shooter,49.0,87.0,,,,22236
252,3DS,2015.0,Role-Playing,81.0,23.0,,,,28580
253,PC,2017.0,Strategy,83.0,66.0,86.0,7.9,T,41736
254,PS4,2015.0,Adventure,45.0,90.0,79.0,8.2,M,22004
255,X360,2017.0,Action,101.0,50.0,81.0,6.5,M,49628
256,X360,2018.0,Action,90.0,61.0,79.0,7.2,E10+,23072
257,PS4,2016.0,Role-Playing,65.0,45.0,89.0,8.8,M,40410
258,Wii,2017.0,Platform,57.99999999999999,21.0,77.0,8.5,E10+,36261
259,XOne,2018.0,Shooter,80.0,69.0,82.0,7.5,M,24023
260,PS3,2017.0,Adventure,52.0,80.0,70.0,8.1,M,19334
261,X360,2018.0,Sports,135.0,11.0,,3,E,15246
262,X360,2018.0,Shooter,86.0,62.0,86.0,7.8,M,15100
263,PS4,2017.0,Action,59.0,76.0,83.0,7.7,E10+,16922
264,PS3,2018.0,Shooter,68.0,56.00000000000001,,4.5,T,37033
265,X360,2017.0,Shooter,82.0,60.0,81.0,6.7,M,15706
266,Wii,2017.0,Action,105.0,41.0,,4.2,E10+,17894
267,3DS,2018.0,Action,88.0,26.0,75.0,8.2,E10+,42880
268,PS3,2017.0,Platform,60.0,69.0,76.0,8.2,E,32189
269,WiiU,2015.0,Misc,69.0,53.0,66.0,6.5,E,29049
270,XOne,2017.0,Action,106.0,35.0,78.0,6.8,M,33984
271,X360,2017.0,Shooter,92.0,50.0,79.0,5.4,M,29472
272,XOne,2018.0,Action,90.0,53.0,78.0,5.8,M,40752
273,X360,2015.0,Sports,56.99999999999999,88.0,,2.9,E,14976
274,XOne,2018.0,Sports,131.0,9.0,80.0,6.4,E,14803
275,X360,2018.0,Racing,62.0,78.0,83.0,8.5,T,20722
276,Wii,2017.0,Action,73.0,67.0,73.0,7,E10+,45618
277,PS4,2018.0,Shooter,47.0,80.0,79.0,8.1,M,44749
278,DS,2017.0,Misc,37.0,96.0,,tbd,E,47337
279,PS4,2016.0,Platform,50.0,76.0,,,,21334
280,PSV,2017.0,Shooter,53.0,66.0,80.0,7.4,T,19990
281,Wii,2017.0,Misc,42.0,65.0,64.0,7.8,E10+,38451
282,PS3,2018.0,Sports,18.0,63.0,82.0,6.7,E,13723
283,PS3,2018.0,Action,72.0,52.0,89.0,7.9,M,23244
284,PC,2018.0,Shooter,64.0,69.0,74.0,4.2,M,39280
285,WiiU,2018.0,Platform,70.0,55.00000000000001,83.0,8.9,E,43986
286,X360,2017.0,Shooter,94.0,44.0,90.0,8.6,M,10318
287,3DS,2017.0,Role-Playing,0.0,0.0,,,,36324
288,PC,2017.0,Sports,2.0,116.0,84.0,8,E,43844
289,PS3,2017.0,Role-Playing,60.0,47.0,85.0,8.6,E10+,24967
290,XOne,2015.0,Action,88.0,47.0,85.0,6.6,M,47646
291,PS4,2016.0,Shooter,54.0,69.0,,,,13059
292,PS3,2017.0,Shooter,64.0,56.99999999999999,83.0,7.8,M,12776
293,X360,2017.0,Action,84.0,51.0,75.0,7.8,E10+,26020
294,3DS,2017.0,Platform,52.0,77.0,,,,31636
295,PSV,2018.0,Action,71.0,43.0,33.0,4.8,M,16473
296,X360,2018.0,Shooter,93.0,40.0,79.0,7.2,M,28577
297,3DS,2017.0,Role-Playing,6.0,9.0,,,,41427
298,X360,2017.0,Shooter,83.0,48.0,70.0,6,M,48046
299,PS3,2018.0,Sports,108.0,11.0,,2.7,E,18067
300,PS3,2017.0,Role-Playing,78.0,45.0,94.0,8.5,M,40634
301,DS,2017.0,Strategy,102.0,32.0,59.0,6.9,E,29960
302,PS4,2017.0,Sports,89.0,31.0,85.0,6.5,E,31896
303,X360,2017.0,Action,97.0,34.0,74.0,6.5,E10+,15532
304,PC,2017.0,Strategy,0.0,113.0,83.0,7,T,15348
305,PS3,2018.0,Role-Playing,63.0,56.00000000000001,93.0,5.5,M,46783
306,PC,2017.0,Simulation,48.0,77.0,64.0,2.2,E10+,27280
307,PS3,2017.0,Shooter,73.0,48.0,89.0,8.4,M,41165
308,PS3,2017.0,Action,45.0,37.0,80.0,7.9,M,40470
309,PS3,2018.0,Action,48.0,62.0,55.0,6,M,48392
310,X360,2017.0,Role-Playing,90.0,39.0,87.0,6.6,M,12621
311,PS4,2018.0,Action,47.0,65.0,,,,16447
312,XOne,2018.0,Racing,50.0,78.0,86.0,8.2,E10+,44025
313,X360,2017.0,Fighting,97.0,30.0,81.0,7.9,T,44344
314,3DS,2018.0,Platform,48.0,53.0,64.0,6.1,E,36016
315,Wii,2018.0,Action,90.0,37.0,,7.1,E10+,32417
316,3DS,2018.0,Role-Playing,50.0,32.0,,,,13456
317,XOne,2017.0,Action,83.0,43.0,60.0,6.1,M,33192
318,XOne,2015.0,Fighting,103.0,21.0,86.0,7.3,M,15867
319,XOne,2015.0,Adventure,55.00000000000001,70.0,86.0,8,M,45459
320,X360,2017.0,Platform,71.0,53.0,77.0,8.3,E,21921
321,X360,2017.0,Shooter,76.0,47.0,89.0,8.3,M,25006
322,PS3,2017.0,Shooter,50.0,59.0,89.0,8.2,M,41751
323,X360,2017.0,Action,63.0,56.99999999999999,68.0,6,T,24799
324,X360,2018.0,Shooter,87.0,34.0,83.0,5.9,M,43121
325,PS3,2018.0,Action,51.0,60.0,76.0,8.1,T,46026
326,XOne,2018.0,Action,73.0,50.0,87.0,8,M,35141
327,PC,2017.0,Shooter,39.0,87.0,81.0,6,M,49504
328,XOne,2016.0,Shooter,78.0,44.0,84.0,6.2,M,46285
329,X360,2017.0,Action,71.0,49.0,84.0,7.5,M,23682
330,PS3,2017.0,Fighting,81.0,28.000000000000004,84.0,7.3,T,40260
331,XOne,2015.0,Shooter,77.0,45.0,74.0,6.9,M,16198
332,PS3,2018.0,Sports,87.0,21.0,,3.5,E,15432
333,3DS,2016.0,Action,0.0,0.0,,,,48001
334,PS4,2016.0,Role-Playing,48.0,59.0,,,,14054
335,X360,2017.0,Platform,86.0,34.0,83.0,5.7,E10+,27239
336,PSV,2018.0,Action,53.0,48.0,70.0,7.2,M,48419
337,PS3,2017.0,Adventure,67.0,34.0,,,,48212
338,PS3,2017.0,Shooter,47.0,57.99999999999999,81.0,6.2,M,38645
339,XOne,2015.0,Role-Playing,69.0,50.0,91.0,9.2,M,10495
340,WiiU,2015.0,Platform,62.0,47.0,78.0,8.5,E,12269
341,X360,2018.0,Action,75.0,44.0,80.0,6.6,E10+,26660
342,XOne,2015.0,Action,62.0,56.00000000000001,78.0,6.1,M,10923
343,PS3,2018.0,Shooter,34.0,68.0,,7.3,M,28504
344,PS3,2017.0,Action,46.0,56.00000000000001,85.0,7.2,M,20324
345,XOne,2015.0,Action,86.0,30.0,74.0,7.8,M,25552
346,PC,2015.0,Role-Playing,51.0,67.0,84.0,5.4,M,18970
347,PS3,2018.0,Action,46.0,56.00000000000001,72.0,7.5,M,31215
348,XOne,2015.0,Role-Playing,78.0,38.0,77.0,8.4,M,26801
349,X360,2018.0,Action,69.0,47.0,69.0,7.2,E10+,41460
350,PS3,2018.0,Role-Playing,40.0,33.0,91.0,8.1,T,12701
351,3DS,2018.0,Action,48.0,35.0,83.0,8.7,E10+,15329
352,3DS,2018.0,Role-Playing,44.0,29.0,59.0,6.3,E,16712
353,PS4,2018.0,Action,45.0,47.0,75.0,6.2,M,17688
354,X360,2017.0,Fighting,74.0,40.0,71.0,6.3,T,49315
355,X360,2018.0,Action,72.0,44.0,78.0,8,T,41866
356,PS3,2017.0,Role-Playing,43.0,36.0,85.0,8.5,T,49254
357,PS3,2017.0,Racing,33.0,69.0,80.0,4.9,E10+,40630
358,PS3,2017.0,Action,56.00000000000001,41.0,76.0,6.3,M,28685
359,X360,2018.0,Action,72.0,41.0,,5,M,23271
360,PSV,2018.0,Platform,35.0,61.0,88.0,8.6,E,47415
361,3DS,2015.0,Role-Playing,48.0,35.0,69.0,8.8,E,46237
362,PS3,2018.0,Sports,12.0,89.0,76.0,6.4,E,49717
363,XOne,2016.0,Sports,108.0,2.0,83.0,5.9,E,26798
364,DS,2017.0,Racing,68.0,40.0,,,,39550
365,PS3,2018.0,Role-Playing,52.0,35.0,,,,10777
366,X360,2018.0,Action,64.0,49.0,80.0,8.5,E10+,28120
367,WiiU,2018.0,Action,57.99999999999999,42.0,76.0,8.3,T,18143
368,PS3,2017.0,Role-Playing,29.0,18.0,78.0,8.2,T,23143
369,3DS,2017.0,Fighting,55.00000000000001,44.0,85.0,8.1,T,10311
370,PS4,2015.0,Sports,41.0,60.0,73.0,7.4,T,44872
371,XOne,2015.0,Shooter,72.0,37.0,71.0,5.1,M,35879
372,PS3,2017.0,Racing,12.0,74.0,82.0,7.1,E,29371
373,PC,2018.0,Simulation,8.0,104.0,,,,31951
374,PS3,2018.0,Action,50.0,50.0,81.0,7.5,E10+,19016
375,WiiU,2018.0,Puzzle,53.0,38.0,81.0,8.6,E,25946
376,XOne,2015.0,Shooter,85.0,23.0,89.0,5.2,T,28511
377,3DS,2018.0,Sports,18.0,64.0,,,,24828
378,PS3,2017.0,Fighting,48.0,50.0,78.0,7.9,T,18071
379,X360,2018.0,Misc,90.0,19.0,77.0,7.7,E10+,24820
380,PS3,2018.0,Action,1.0,23.0,64.0,6.5,T,44861
381,PS3,2018.0,Action,48.0,24.0,52.0,4.9,M,31180
382,PS3,2017.0,Fighting,53.0,45.0,72.0,6.9,T,21064
383,PS4,2015.0,Action,36.0,59.0,,,,11671
384,PC,2015.0,Action,39.0,69.0,96.0,7.9,M,10310
385,PS3,2017.0,Action,52.0,46.0,76.0,7.3,E10+,12515
386,X360,2017.0,Sports,70.0,36.0,77.0,7.6,E,26555
387,XOne,2017.0,Sports,41.0,66.0,88.0,5.8,E,47400
388,PC,2018.0,Sports,0.0,95.0,86.0,6.7,,31912
389,X360,2018.0,Action,59.0,45.0,53.0,5.4,M,31585
390,PS4,2018.0,Sports,39.0,56.99999999999999,62.0,5.1,T,23271
391,PS3,2017.0,Sports,49.0,46.0,74.0,7.5,T,35836
392,3DS,2017.0,Action,47.0,26.0,56.0,7.1,E10+,47890
